,SN,z_helio,z_helio_err,z_HD,z_HD_err,mu_ext,mu_ext_err,mu,mu_err,log_Mass,EBV_MW,T0,T0_err,AV,AV_err,theta,theta_err
23,ASASSN-15pn,0.038360000000000005,0.0,0.03961,0.0,36.115429999999996,0.027410000000000004,36.35798,0.11750999999999999,9.681000000000001,0.0810493,57279.33,0.5,0.09925,0.058429999999999996,-0.72348,0.17223
24,ASASSN-15pr,0.033089999999999994,0.00015,0.03313,0.00015,35.71696,0.034210000000000004,35.97063,0.12264000000000001,9.801,0.0294079,57281.63,0.92,0.08346,0.060239999999999995,0.18014000000000002,0.22475
25,ASASSN-15sf,0.02468,0.001,0.0244,0.001,35.03844,0.0995,35.24536,0.11305,9.365,0.0263781,57333.67,0.26,0.11880999999999999,0.054029999999999995,-0.93952,0.14278
26,ASASSN-15ss,0.03556,0.00011999999999999999,0.036019999999999996,0.00011999999999999999,35.903290000000005,0.031,35.90359,0.1156,11.072000000000001,0.19921,57338.34,0.58,0.06489,0.0466,-0.7275,0.15188
27,ASASSN-15tg,0.03562,5.9999999999999995e-05,0.03533,5.9999999999999995e-05,35.860170000000004,0.03095,35.8029,0.11249,10.172,0.024721599999999996,57361.64,0.48,0.07461,0.05271,-1.07107,0.16358
28,ASASSN-15ti,0.01732,5e-05,0.01647,5e-05,34.17175,0.06625,34.46468,0.11307,8.722000000000001,0.12944,57364.26,0.23,0.17814000000000002,0.0563,1.34623,0.15364
29,ASASSN-15tz,0.02286,2.9999999999999997e-05,0.02404,2.9999999999999997e-05,35.005559999999996,0.045239999999999995,34.8737,0.11957000000000001,10.359000000000002,0.14106,57376.01,0.29,0.45508000000000004,0.06972,1.41793,0.16044
30,ASASSN-15uu,0.02678,1e-05,0.026410000000000003,1e-05,35.21365,0.04112,35.17734,0.11367000000000001,9.74,0.058811300000000004,57390.19,0.45,0.34961,0.058370000000000005,-0.27241,0.15383
31,ASASSN-15uv,0.02028,2e-05,0.02169,2e-05,34.778290000000005,0.0501,34.78736,0.11385,9.77,0.0286457,57391.57,0.41,0.77149,0.06257,-0.62497,0.18634
32,ASASSN-15uw,0.03081,0.00015,0.03107,0.00015,35.57419,0.03648,35.486740000000005,0.11773,10.418,0.0231664,57393.62,0.33,0.27234,0.062310000000000004,0.75678,0.16271
33,ASASSN-16ad,0.016130000000000002,1e-05,0.01589,1e-05,34.092929999999996,0.06834,34.211890000000004,0.11433,9.457,0.0421356,57405.85,0.28,0.12122000000000001,0.05619,-0.35906,0.12737
